age,income,risk_appetite,financial_goal,investment_knowledge,dependents,location_type,existing_investments,education_level,job_type,monthly_debt,recommended_strategy
41,88700.0,1,0,2,1,1,0,0,1,1600.0,0
65,70100.0,1,1,2,0,1,1,0,2,13900.0,0
21,151400.0,1,2,1,0,1,2,0,3,40600.0,3
44,99300.0,2,2,1,2,2,1,3,2,28300.0,2
50,65400.0,2,0,1,3,2,1,3,2,9900.0,0
28,120900.0,2,0,0,3,1,1,0,2,25600.0,0
67,10000.0,1,1,0,0,2,1,3,2,2300.0,4
55,58600.0,2,0,0,2,0,1,3,0,13000.0,0
63,108900.0,0,2,0,1,1,0,0,0,20600.0,4
69,87900.0,0,1,2,0,2,2,2,3,20500.0,0
49,39700.0,2,0,0,2,2,1,0,2,6900.0,0
41,78200.0,1,2,2,0,2,1,0,2,13000.0,2
65,109700.0,0,1,2,3,0,1,0,3,22400.0,4
31,78200.0,2,0,2,3,2,0,0,3,23100.0,0
64,68800.0,2,1,2,0,2,2,0,2,19300.0,2
61,24600.0,2,0,2,0,1,1,3,3,2800.0,0
26,62600.0,0,1,2,2,0,1,0,0,16100.0,2
45,56500.0,1,2,2,2,2,1,0,2,9000.0,0
62,61000.0,1,2,1,1,0,0,2,0,9100.0,0
53,83700.0,1,1,0,2,1,2,0,2,13400.0,2
49,83100.0,2,0,2,2,0,1,0,2,10100.0,0
46,72800.0,1,1,0,2,2,0,0,2,21400.0,2
38,12300.0,1,1,2,0,1,1,3,2,3400.0,3
36,51400.0,2,0,1,0,0,0,2,4,0.0,0
69,149400.0,2,1,2,2,2,2,0,3,36000.0,2
35,43000.0,0,1,2,0,1,0,3,2,11700.0,2
66,60900.0,2,1,0,0,1,1,0,4,300.0,2
69,76800.0,0,2,1,2,2,1,0,2,9800.0,1
38,38700.0,0,1,0,2,2,1,2,2,4400.0,0
35,123400.0,2,0,0,2,2,2,2,2,18400.0,0
45,64400.0,2,0,0,3,0,1,2,2,14400.0,0
40,69000.0,1,0,1,0,0,1,0,2,12000.0,0
23,105400.0,1,0,0,3,0,1,0,2,18300.0,0
28,59900.0,2,1,0,1,2,0,0,2,9900.0,2
47,68000.0,2,2,1,1,0,2,2,0,11700.0,2
44,44100.0,2,1,2,1,0,1,0,0,7900.0,2
31,75400.0,1,2,1,2,1,0,0,2,11600.0,0
