age,income,risk_appetite,financial_goal,investment_knowledge,dependents,location_type,existing_investments,education_level,job_type,monthly_debt,recommended_strategy
41,88700.0,Low,Retirement,Intermediate,1,Semi-urban,Diverse,Bachelor's,Retired,1600.0,Bonds
65,70100.0,Low,Short-term profit,Intermediate,0,Semi-urban,Some,Bachelor's,Salaried,13900.0,Bonds
21,151400.0,Low,Wealth-building,Expert,0,Semi-urban,None,Bachelor's,Self-employed,40600.0,Property
44,99300.0,Medium,Wealth-building,Expert,2,Urban,Some,Master's,Salaried,28300.0,Mixed
50,65400.0,Medium,Retirement,Expert,3,Urban,Some,Master's,Salaried,9900.0,Bonds
28,120900.0,Medium,Retirement,Beginner,3,Semi-urban,Some,Bachelor's,Salaried,25600.0,Bonds
67,10000.0,Low,Short-term profit,Beginner,0,Urban,Some,Master's,Salaried,2300.0,Stocks
55,58600.0,Medium,Retirement,Beginner,2,Rural,Some,Master's,Freelancer,13000.0,Bonds
63,108900.0,High,Wealth-building,Beginner,1,Semi-urban,Diverse,Bachelor's,Freelancer,20600.0,Stocks
69,87900.0,High,Short-term profit,Intermediate,0,Urban,None,High School,Self-employed,20500.0,Bonds
49,39700.0,Medium,Retirement,Beginner,2,Urban,Some,Bachelor's,Salaried,6900.0,Bonds
41,78200.0,Low,Wealth-building,Intermediate,0,Urban,Some,Bachelor's,Salaried,13000.0,Mixed
65,109700.0,High,Short-term profit,Intermediate,3,Rural,Some,Bachelor's,Self-employed,22400.0,Stocks
31,78200.0,Medium,Retirement,Intermediate,3,Urban,Diverse,Bachelor's,Self-employed,23100.0,Bonds
64,68800.0,Medium,Short-term profit,Intermediate,0,Urban,None,Bachelor's,Salaried,19300.0,Mixed
61,24600.0,Medium,Retirement,Intermediate,0,Semi-urban,Some,Master's,Self-employed,2800.0,Bonds
26,62600.0,High,Short-term profit,Intermediate,2,Rural,Some,Bachelor's,Freelancer,16100.0,Mixed
45,56500.0,Low,Wealth-building,Intermediate,2,Urban,Some,Bachelor's,Salaried,9000.0,Bonds
62,61000.0,Low,Wealth-building,Expert,1,Rural,Diverse,High School,Freelancer,9100.0,Bonds
53,83700.0,Low,Short-term profit,Beginner,2,Semi-urban,None,Bachelor's,Salaried,13400.0,Mixed
49,83100.0,Medium,Retirement,Intermediate,2,Rural,Some,Bachelor's,Salaried,10100.0,Bonds
46,72800.0,Low,Short-term profit,Beginner,2,Urban,Diverse,Bachelor's,Salaried,21400.0,Mixed
38,12300.0,Low,Short-term profit,Intermediate,0,Semi-urban,Some,Master's,Salaried,3400.0,Property
36,51400.0,Medium,Retirement,Expert,0,Rural,Diverse,High School,Student,0.0,Bonds
69,149400.0,Medium,Short-term profit,Intermediate,2,Urban,None,Bachelor's,Self-employed,36000.0,Mixed
35,43000.0,High,Short-term profit,Intermediate,0,Semi-urban,Diverse,Master's,Salaried,11700.0,Mixed
66,60900.0,Medium,Short-term profit,Beginner,0,Semi-urban,Some,Bachelor's,Student,300.0,Mixed
69,76800.0,High,Wealth-building,Expert,2,Urban,Some,Bachelor's,Salaried,9800.0,Crypto
38,38700.0,High,Short-term profit,Beginner,2,Urban,Some,High School,Salaried,4400.0,Bonds
35,123400.0,Medium,Retirement,Beginner,2,Urban,None,High School,Salaried,18400.0,Bonds
45,64400.0,Medium,Retirement,Beginner,3,Rural,Some,High School,Salaried,14400.0,Bonds
40,69000.0,Low,Retirement,Expert,0,Rural,Some,Bachelor's,Salaried,12000.0,Bonds
23,105400.0,Low,Retirement,Beginner,3,Rural,Some,Bachelor's,Salaried,18300.0,Bonds
28,59900.0,Medium,Short-term profit,Beginner,1,Urban,Diverse,Bachelor's,Salaried,9900.0,Mixed
47,68000.0,Medium,Wealth-building,Expert,1,Rural,None,High School,Freelancer,11700.0,Mixed
44,44100.0,Medium,Short-term profit,Intermediate,1,Rural,Some,Bachelor's,Freelancer,7900.0,Mixed
31,75400.0,Low,Wealth-building,Expert,2,Semi-urban,Diverse,Bachelor's,Salaried,11600.0,Bonds
69,65900.0,High,Retirement,Expert,3,Urban,Some,Bachelor's,Salaried,12400.0,Stocks
36,91800.0,Medium,Short-term profit,Expert,1,Rural,Diverse,Master's,Self-employed,18900.0,Mixed
68,53300.0,Medium,Retirement,Intermediate,0,Urban,Some,Master's,Salaried,12800.0,Bonds
50,97700.0,Medium,Short-term profit,Beginner,1,Urban,None,Bachelor's,Salaried,23800.0,Mixed
38,50900.0,Low,Retirement,Beginner,1,Rural,Diverse,Bachelor's,Salaried,5200.0,Bonds
23,76500.0,Medium,Wealth-building,Expert,3,Urban,Some,High School,Salaried,13500.0,Mixed
53,149300.0,Low,Wealth-building,Beginner,0,Semi-urban,Some,Master's,Salaried,38600.0,Bonds
49,28200.0,Medium,Short-term profit,Beginner,0,Rural,None,Master's,Salaried,5700.0,Mixed
26,56300.0,High,Retirement,Beginner,2,Rural,Some,Master's,Freelancer,14500.0,Bonds
59,36600.0,Medium,Short-term profit,Beginner,1,Rural,Some,Master's,Salaried,8100.0,Mixed
34,111700.0,Low,Short-term profit,Expert,2,Urban,Some,Master's,Self-employed,26800.0,Property
37,69700.0,Medium,Wealth-building,Intermediate,0,Urban,Diverse,High School,Salaried,20700.0,Mixed
34,84000.0,High,Short-term profit,Intermediate,0,Urban,Some,High School,Salaried,22300.0,Mixed
32,69400.0,High,Retirement,Intermediate,0,Urban,None,Bachelor's,Salaried,13100.0,Stocks
56,103100.0,Medium,Wealth-building,Beginner,1,Rural,None,Bachelor's,Retired,0.0,Mixed
55,87100.0,High,Wealth-building,Beginner,1,Urban,Some,Bachelor's,Self-employed,9900.0,Mixed
44,118300.0,Medium,Retirement,Beginner,1,Semi-urban,Diverse,Bachelor's,Salaried,21500.0,Bonds
69,69400.0,Medium,Short-term profit,Beginner,1,Semi-urban,None,Master's,Freelancer,19900.0,Mixed
54,85900.0,Medium,Short-term profit,Expert,0,Urban,Diverse,Master's,Self-employed,18700.0,Mixed
60,27700.0,High,Wealth-building,Intermediate,0,Rural,Diverse,Bachelor's,Self-employed,7900.0,Crypto
55,86800.0,Medium,Retirement,Intermediate,1,Rural,Some,High School,Freelancer,22600.0,Bonds
29,61300.0,High,Short-term profit,Intermediate,3,Rural,None,Master's,Self-employed,14000.0,Bonds
34,72300.0,Medium,Retirement,Intermediate,0,Rural,Diverse,Bachelor's,Salaried,7200.0,Bonds
43,65900.0,Medium,Wealth-building,Expert,3,Rural,Diverse,High School,Self-employed,19700.0,Mixed
44,130200.0,Medium,Wealth-building,Intermediate,0,Urban,None,Doctorate,Self-employed,19700.0,Mixed
36,26300.0,Medium,Retirement,Beginner,0,Semi-urban,Some,Bachelor's,Retired,2100.0,Bonds
50,82100.0,Low,Wealth-building,Beginner,2,Rural,Some,Bachelor's,Salaried,20500.0,Mixed
48,80100.0,Medium,Retirement,Intermediate,1,Semi-urban,Diverse,Bachelor's,Salaried,13100.0,Bonds
